"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
11.850,-50.76006122,-35.48084694
11.867,-50.23034114,-34.55763238
11.883,-49.93181725,-34.10096075
11.900,-49.58290441,-33.78575368
11.917,-49.97195946,-33.64665233
11.933,-49.27805215,-32.89305215
11.950,-49.30451801,-33.01364613
11.967,-48.8731924,-32.47018995
11.983,-48.5554812,-32.19772681
12.000,-48.20783483,-31.92572989
12.017,-47.87075153,-31.54814417
12.033,-47.44996427,-31.25783483
12.050,-47.20104167,-30.96075368
12.067,-46.39890244,-30.38942073
12.083,-46.05094512,-30.11036585
12.100,-45.37065306,-29.76973469
12.117,-43.99339373,-29.12073493
12.133,-43.07780488,-29.02170732
12.150,-42.11155526,-28.7258076
12.167,-41.37278398,-28.25974138
12.183,-39.6727762,-27.54202884
12.200,-39.08260341,-27.00590024
12.217,-37.77080975,-26.76667509
12.233,-36.91893985,-26.38783414
12.250,-36.59971142,-26.28142467
12.267,-36.17143725,-26.16270243
12.283,-35.36735437,-26.14496359
12.300,-34.86862058,-26.12178745
12.317,-34.60739465,-26.35216775
12.333,-33.87096433,-26.14747582
12.350,-33.15160282,-26.1221371
12.367,-32.69515347,-25.93842892
12.383,-32.55240326,-25.73756046
12.400,-31.79065906,-25.86123839
12.417,-31.66325666,-25.6404661
12.433,-31.01017512,-25.40452899
12.450,-30.35196839,-25.07173278
12.467,-29.89469178,-25.13134569
12.483,-28.91470588,-24.95720185
12.500,-27.89135078,-24.923571
12.517,-26.95501817,-24.89103393
12.533,-26.19669621,-24.80013094
12.550,-25.06762048,-24.56048193
12.567,-24.05099699,-24.64543587
12.583,-22.82242751,-24.72699859
12.600,-21.65586426,-24.68484772
12.617,-20.29251814,-24.79133918
12.633,-18.82174768,-24.76689693
12.650,-17.1773447,-25.40619706
12.667,-15.60932203,-25.25057506
12.683,-14.03159274,-25.49334677
12.700,-12.46575516,-25.90306814
12.717,-10.60572034,-26.25266344
